,sentence_id,word,ante_cons
0,Sentence: 0,I,cons
1,Sentence: 0,don,cons
2,Sentence: 0,',cons
3,Sentence: 0,t,cons
4,Sentence: 0,think,cons
5,Sentence: 0,any,cons
6,Sentence: 0,of,cons
7,Sentence: 0,us,cons
8,Sentence: 0,-,cons
9,Sentence: 0,-,cons
10,Sentence: 0,-,cons
11,Sentence: 0,even,cons
12,Sentence: 0,economic,cons
13,Sentence: 0,gurus,cons
14,Sentence: 0,like,cons
15,Sentence: 0,Paul,cons
16,Sentence: 0,Krugman,cons
17,Sentence: 0,-,cons
18,Sentence: 0,-,cons
19,Sentence: 0,-,cons
20,Sentence: 0,really,cons
21,Sentence: 0,",",cons
22,Sentence: 0,truly,cons
23,Sentence: 0,understand,cons
24,Sentence: 0,just,cons
25,Sentence: 0,how,cons
26,Sentence: 0,bad,cons
27,Sentence: 0,it,cons
28,Sentence: 0,could,cons
29,Sentence: 0,',cons
30,Sentence: 0,ve,cons
31,Sentence: 0,gotten,cons
32,Sentence: 0,"""",cons
33,Sentence: 0,on,cons
34,Sentence: 0,Main,cons
35,Sentence: 0,Street,cons
36,Sentence: 0,"""",cons
37,Sentence: 0,if,ante
38,Sentence: 0,the,ante
39,Sentence: 0,stimulus,ante
40,Sentence: 0,bill,ante
41,Sentence: 0,had,ante
42,Sentence: 0,become,ante
43,Sentence: 0,hamstrung,ante
44,Sentence: 0,by,ante
45,Sentence: 0,a,ante
46,Sentence: 0,filibuster,ante
47,Sentence: 0,threat,ante
48,Sentence: 0,or,ante
49,Sentence: 0,recalcitrant,ante
50,Sentence: 0,conservadems,ante
51,Sentence: 0,",",","
52,Sentence: 0,the,the
53,Sentence: 0,way,way
54,Sentence: 0,so,so
55,Sentence: 0,much,much
56,Sentence: 0,of,of
57,Sentence: 0,our,our
58,Sentence: 0,legislation,legislation
59,Sentence: 0,has,has
60,Sentence: 0,since,since
61,Sentence: 0,.,.
0,Sentence: 1,The,cons
1,Sentence: 1,GOP,cons
2,Sentence: 1,',cons
3,Sentence: 1,s,cons
4,Sentence: 1,malignant,cons
5,Sentence: 1,amnesia,cons
6,Sentence: 1,regarding,cons
7,Sentence: 1,the,cons
8,Sentence: 1,economy,cons
9,Sentence: 1,would,cons
10,Sentence: 1,be,cons
11,Sentence: 1,hilarious,cons
12,Sentence: 1,were,ante
13,Sentence: 1,it,ante
14,Sentence: 1,not,ante
15,Sentence: 1,for,ante
16,Sentence: 1,the,ante
17,Sentence: 1,wreckage,ante
18,Sentence: 1,they,ante
19,Sentence: 1,caused,ante
20,Sentence: 1,.,.
0,Sentence: 2,OPKO,OPKO
1,Sentence: 2,said,said
2,Sentence: 2,in,in
3,Sentence: 2,a,a
4,Sentence: 2,statement,statement
5,Sentence: 2,Friday,Friday
6,Sentence: 2,that,that
7,Sentence: 2,it,it
8,Sentence: 2,was,was
9,Sentence: 2,aware,aware
10,Sentence: 2,of,of
11,Sentence: 2,the,the
12,Sentence: 2,lawsuit,lawsuit
13,Sentence: 2,",",","
14,Sentence: 2,but,but
15,Sentence: 2,that,that
16,Sentence: 2,the,the
17,Sentence: 2,SEC,SEC
18,Sentence: 2,failed,failed
19,Sentence: 2,to,to
20,Sentence: 2,notify,notify
21,Sentence: 2,the,the
22,Sentence: 2,company,company
23,Sentence: 2,of,of
24,Sentence: 2,its,its
25,Sentence: 2,intent,intent
26,Sentence: 2,to,to
27,Sentence: 2,sue,sue
28,Sentence: 2,prior,prior
29,Sentence: 2,to,to
30,Sentence: 2,filing,filing
31,Sentence: 2,the,the
32,Sentence: 2,complaint,complaint
33,Sentence: 2,",",","
34,Sentence: 2,which,which
35,Sentence: 2,the,the
36,Sentence: 2,company,company
37,Sentence: 2,said,said
38,Sentence: 2,"""",""""
39,Sentence: 2,contains,contains
40,Sentence: 2,serious,serious
41,Sentence: 2,factual,factual
42,Sentence: 2,inaccuracies,inaccuracies
43,Sentence: 2,.,.
44,Sentence: 2,"""",""""
45,Sentence: 2,"""",""""
46,Sentence: 2,Had,ante
47,Sentence: 2,the,ante
48,Sentence: 2,SEC,ante
49,Sentence: 2,followed,ante
50,Sentence: 2,its,ante
51,Sentence: 2,own,ante
52,Sentence: 2,standard,ante
53,Sentence: 2,procedures,ante
54,Sentence: 2,",",","
55,Sentence: 2,OPKO,cons
56,Sentence: 2,and,cons
57,Sentence: 2,Dr,cons
58,Sentence: 2,.,cons
59,Sentence: 2,Frost,cons
60,Sentence: 2,would,cons
61,Sentence: 2,gladly,cons
62,Sentence: 2,have,cons
63,Sentence: 2,provided,cons
64,Sentence: 2,information,cons
65,Sentence: 2,that,cons
66,Sentence: 2,would,cons
67,Sentence: 2,have,cons
68,Sentence: 2,answered,cons
69,Sentence: 2,a,cons
70,Sentence: 2,number,cons
71,Sentence: 2,of,cons
72,Sentence: 2,the,cons
73,Sentence: 2,SEC,cons
74,Sentence: 2,',cons
75,Sentence: 2,s,cons
76,Sentence: 2,apparent,cons
77,Sentence: 2,questions,cons
78,Sentence: 2,",",cons
79,Sentence: 2,and,cons
80,Sentence: 2,filing,cons
81,Sentence: 2,of,cons
82,Sentence: 2,this,cons
83,Sentence: 2,lawsuit,cons
84,Sentence: 2,against,cons
85,Sentence: 2,them,cons
86,Sentence: 2,could,cons
87,Sentence: 2,have,cons
88,Sentence: 2,been,cons
89,Sentence: 2,avoided,cons
90,Sentence: 2,",",","
91,Sentence: 2,"""",""""
92,Sentence: 2,the,the
93,Sentence: 2,statement,statement
94,Sentence: 2,read,read
95,Sentence: 2,.,.
0,Sentence: 3,TOP,TOP
1,Sentence: 3,TWEETS,TWEETS
2,Sentence: 3,-,-
3,Sentence: 3,-,-
4,Sentence: 3,@,@
5,Sentence: 3,kurtbardella,kurtbardella
6,Sentence: 3,:,:
7,Sentence: 3,"""",""""
8,Sentence: 3,if,ante
9,Sentence: 3,the,ante
10,Sentence: 3,first,ante
11,Sentence: 3,four,ante
12,Sentence: 3,weeks,ante
13,Sentence: 3,of,ante
14,Sentence: 3,the,ante
15,Sentence: 3,#,ante
16,Sentence: 3,Obama,ante
17,Sentence: 3,presidency,ante
18,Sentence: 3,were,ante
19,Sentence: 3,like,ante
20,Sentence: 3,this,ante
21,Sentence: 3,when,ante
22,Sentence: 3,I,ante
23,Sentence: 3,worked,ante
24,Sentence: 3,at,ante
25,Sentence: 3,#,ante
26,Sentence: 3,oversight,ante
27,Sentence: 3,we,cons
28,Sentence: 3,',cons
29,Sentence: 3,d,cons
30,Sentence: 3,have,cons
31,Sentence: 3,issued,cons
32,Sentence: 3,so,cons
33,Sentence: 3,many,cons
34,Sentence: 3,subpoenas,cons
35,Sentence: 3,by,cons
36,Sentence: 3,now,cons
37,Sentence: 3,"""",""""
38,Sentence: 3,.,.
39,Sentence: 3,.,.
40,Sentence: 3,.,.
0,Sentence: 4,"""",""""
1,Sentence: 4,If,ante
2,Sentence: 4,I,ante
3,Sentence: 4,had,ante
4,Sentence: 4,10,ante
5,Sentence: 4,pharmacists,ante
6,Sentence: 4,who,ante
7,Sentence: 4,worked,ante
8,Sentence: 4,with,ante
9,Sentence: 4,me,ante
10,Sentence: 4,",",","
11,Sentence: 4,I,cons
12,Sentence: 4,could,cons
13,Sentence: 4,reach,cons
14,Sentence: 4,100,cons
15,Sentence: 4,people,cons
16,Sentence: 4,more,cons
17,Sentence: 4,effectively,cons
18,Sentence: 4,.,.
19,Sentence: 4,"""",""""
0,Sentence: 5,Hell,Hell
1,Sentence: 5,",",","
2,Sentence: 5,Obama,Obama
3,Sentence: 5,complained,complained
4,Sentence: 5,last,last
5,Sentence: 5,year,year
6,Sentence: 5,about,about
7,Sentence: 5,the,the
8,Sentence: 5,sorry,sorry
9,Sentence: 5,state,state
10,Sentence: 5,of,of
11,Sentence: 5,the,the
12,Sentence: 5,US,US
13,Sentence: 5,infrastructure,infrastructure
14,Sentence: 5,-,-
15,Sentence: 5,what,what
16,Sentence: 5,the,the
17,Sentence: 5,HELL,HELL
18,Sentence: 5,happened,happened
19,Sentence: 5,to,to
20,Sentence: 5,the,the
21,Sentence: 5,trillions,trillions
22,Sentence: 5,in,in
23,Sentence: 5,stolen,stolen
24,Sentence: 5,dollars,dollars
25,Sentence: 5,he,he
26,Sentence: 5,spent,spent
27,Sentence: 5,on,on
28,Sentence: 5,shovel,shovel
29,Sentence: 5,-,-
30,Sentence: 5,ready,ready
31,Sentence: 5,jobs,jobs
32,Sentence: 5,at,at
33,Sentence: 5,the,the
34,Sentence: 5,start,start
35,Sentence: 5,of,of
36,Sentence: 5,his,his
37,Sentence: 5,term,term
38,Sentence: 5,?,?
39,Sentence: 5,?,?
40,Sentence: 5,?,?
41,Sentence: 5,?,?
42,Sentence: 5,Most,cons
43,Sentence: 5,of,cons
44,Sentence: 5,the,cons
45,Sentence: 5,infrastructure,cons
46,Sentence: 5,issues,cons
47,Sentence: 5,would,cons
48,Sentence: 5,be,cons
49,Sentence: 5,fixed,cons
50,Sentence: 5,if,ante
51,Sentence: 5,that,ante
52,Sentence: 5,money,ante
53,Sentence: 5,hadn,ante
54,Sentence: 5,',ante
55,Sentence: 5,t,ante
56,Sentence: 5,enriched,ante
57,Sentence: 5,his,ante
58,Sentence: 5,cronies,ante
59,Sentence: 5,.,.
0,Sentence: 6,But,But
1,Sentence: 6,something,something
2,Sentence: 6,tells,tells
3,Sentence: 6,me,me
4,Sentence: 6,that,that
5,Sentence: 6,if,ante
6,Sentence: 6,the,ante
7,Sentence: 6,nominee,ante
8,Sentence: 6,were,ante
9,Sentence: 6,Amy,ante
10,Sentence: 6,Coney,ante
11,Sentence: 6,Barrett,ante
12,Sentence: 6,",",","
13,Sentence: 6,Democrats,cons
14,Sentence: 6,would,cons
15,Sentence: 6,look,cons
16,Sentence: 6,for,cons
17,Sentence: 6,a,cons
18,Sentence: 6,reason,cons
19,Sentence: 6,to,cons
20,Sentence: 6,postpone,cons
21,Sentence: 6,the,cons
22,Sentence: 6,vote,cons
23,Sentence: 6,",",cons
24,Sentence: 6,hope,cons
25,Sentence: 6,to,cons
26,Sentence: 6,retake,cons
27,Sentence: 6,the,cons
28,Sentence: 6,Senate,cons
29,Sentence: 6,and,cons
30,Sentence: 6,then,cons
31,Sentence: 6,.,.
32,Sentence: 6,.,.
33,Sentence: 6,.,.
0,Sentence: 7,If,ante
1,Sentence: 7,that,ante
2,Sentence: 7,was,ante
3,Sentence: 7,my,ante
4,Sentence: 7,daughter,ante
5,Sentence: 7,",",","
6,Sentence: 7,I,cons
7,Sentence: 7,would,cons
8,Sentence: 7,have,cons
9,Sentence: 7,asked,cons
10,Sentence: 7,If,cons
11,Sentence: 7,I,cons
12,Sentence: 7,did,cons
13,Sentence: 7,something,cons
14,Sentence: 7,wrong,cons
15,Sentence: 7,.,.
0,Sentence: 8,He,He
1,Sentence: 8,is,is
2,Sentence: 8,on,on
3,Sentence: 8,the,the
4,Sentence: 8,record,record
5,Sentence: 8,on,on
6,Sentence: 8,numerous,numerous
7,Sentence: 8,issues,issues
8,Sentence: 8,",",","
9,Sentence: 8,if,ante
10,Sentence: 8,he,ante
